epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.654,0.81842,1.55351,1.28336,0.11012,0.24875,0.09855,0.0531,1.59432,20.907,2.02401,0.000552473,0.000552473,0.000552473
2,188.153,0.99945,1.32007,1.36188,0,0,0,0,4.8969,6.68055,7.89524,0.00110265,0.00110265,0.00110265
3,280.334,1.0097,1.28997,1.36179,0.45234,0.81266,0.50775,0.40035,0.87938,1.96205,1.38498,0.00164733,0.00164733,0.00164733
4,372.561,0.95206,1.2506,1.32382,0.46049,0.69607,0.46897,0.35066,0.96233,1.96446,1.42257,0.00164225,0.00164225,0.00164225
5,464.509,0.87954,1.18446,1.26354,0.42968,0.96903,0.55703,0.48545,0.57436,1.17066,1.0782,0.00163399,0.00163399,0.00163399
6,556.635,0.82758,1.12718,1.24947,0.44855,0.93288,0.58117,0.46566,0.73953,1.1695,1.19712,0.00162574,0.00162574,0.00162574
7,648.613,0.81121,1.12555,1.22868,0.48614,1,0.55966,0.51105,0.46371,0.96072,0.9527,0.00161749,0.00161749,0.00161749
8,740.765,0.77544,1.08326,1.19609,0.48556,0.94565,0.58002,0.50182,0.62591,0.98361,1.12969,0.00160924,0.00160924,0.00160924
9,832.822,0.72808,1.06474,1.16603,0.47773,0.93855,0.62331,0.55171,0.54798,0.99157,1.03841,0.00160099,0.00160099,0.00160099
10,925.082,0.71865,1.04619,1.17562,0.4864,0.98253,0.598,0.54688,0.49652,0.9447,0.99281,0.00159274,0.00159274,0.00159274
11,1017.14,0.70874,1.03646,1.17337,0.49556,1,0.60768,0.55162,0.45044,0.9337,0.94502,0.00158448,0.00158448,0.00158448
12,1109.11,0.66936,1.01517,1.13445,0.48737,0.99241,0.67336,0.63738,0.40075,0.87837,0.8974,0.00157623,0.00157623,0.00157623
13,1201.26,0.64246,1.0124,1.11816,0.51078,0.96739,0.61232,0.56206,0.49776,0.91715,0.9685,0.00156798,0.00156798,0.00156798
14,1293.19,0.62335,0.98407,1.10169,0.48652,0.99038,0.64297,0.59306,0.48764,0.91815,0.96834,0.00155973,0.00155973,0.00155973
15,1385.21,0.62901,0.98348,1.11996,0.49372,0.98109,0.60819,0.57166,0.39401,0.91673,0.89788,0.00155148,0.00155148,0.00155148
